gr_code,Z_0.3_0.7_NA,lower_bound,upper_bound
KiharaLab - 294,8.67610954936689,1.3192516736479494,2.936155051468111
CSSB_experimental - 286,7.833105766148758,2.3325304649721295,3.054641531691388
Vfold - 481,7.622783081576196,2.628202431996887,2.2752120277420156
Zheng - 462,7.371474827860287,2.1700423860262354,2.337201158164601
MIEnsembles-Server - S 110,6.794839897435153,1.193434782118473,2.1581731068768395
Huang-HUST - 091,6.017042795838933,1.6566875283743157,2.1438399050985444
GeneSilico - 338,5.013408491607134,1.5384420982726943,1.5912048300617654
NKRNA-s - S 028,4.835865506727563,1.34998947270355,1.6135943957915817
CoDock - 262,4.768878476261345,2.163122108995357,2.1029503448551212
elofsson - 241,4.706634453700808,1.3797777453348647,1.5260082323094295
Diff - 033,3.9840060277026974,1.3643032996272728,1.8776557271277663
AF3-server - S 304,3.810519885121527,1.3679228201988214,1.4599832593375681
GromihaLab - 272,3.078747052071025,1.420845608166868,1.5460286040048588
B-LAB - 231,3.0201855477635977,1.3762263289043715,1.374573253279376
406 - 159,2.092635034570948,0.9401378490654833,0.9401378490654833
Bhattacharya - 369,1.8312402528332794,0.9820338339060215,1.1401179629140161
OpenComplex_Server - S 450,1.3817641254296726,0.69218108269095,1.0045687213981485
falcon2 - S 208,1.286023774060345,0.5944624659654638,0.6729477608238961
OpenComplex - 167,0.9942452423982,0.7047634958015887,0.7220317862050614
kiharalab_server - S 267,0.0,0.0,0.0
