group,F1
GuangzhouRNA-human - 183,0.5050615253688494
KiharaLab - 294,0.5035388597293359
RNAFOLDX - 435,0.4999973961407493
Vfold - 481,0.49860290356322096
AF3-server - S 304,0.49240833406011975
elofsson - 241,0.4880427855874285
GeneSilico - 338,0.4879190299674254
Yang-Server - S 052,0.48267898602720033
Diff - 033,0.46350318691797393
OpenComplex_Server - S 450,0.45877098926206067
isyslab-hust - 235,0.4520799811928138
falcon2 - S 208,0.43666553436642724
Bhattacharya - 369,0.43552804093165415
CSSB_experimental - 286,0.4325327395267871
GuangzhouRNA-meta - 417,0.42444974943486846
OpenComplex - 167,0.40931111271885084
B-LAB - 231,0.39487149699947316
MIEnsembles-Server - S 110,0.3945170926464003
BRIQX - 238,0.3925896149705674
NKRNA-s - S 028,0.3925298878318145
Zheng - 462,0.39142465873551396
RNApolis - 063,0.3762106050149528
GromihaLab - 272,0.3656170894154087
LCBio - 189,0.3648411223294764
GuangzhouRNA_AI - 317,0.2996920952724524
CoDock - 262,0.2799034792368126
RNA_Dojo - 006,0.2570413674729151
SoutheRNA - 156,0.2515583316659997
dNAfold - 448,0.24422983138260915
Yang-Multimer - S 456,0.2392932299182299
406 - 159,0.2362462215202061
405 - 325,0.2246531085161337
dfr - 165,0.21304867696236743
kiharalab_server - S 267,0.1894973544973545
SimRNA-server - S 094,0.12023599563282102
GeneSilicoRNA-server - S 306,0.0689373897707231
thermomaps - 169,0.0
